"Session","Session Date","Session Link"
"5th Assembly","20201105","https://assembly.nu.ca/sites/default/files/20201105_Hansard.pdf"
"5th Assembly","20201104","https://assembly.nu.ca/sites/default/files/20201104_Hansard.pdf"
"5th Assembly","20201103","https://assembly.nu.ca/sites/default/files/20201103_Hansard.pdf"
"5th Assembly","20201102","https://assembly.nu.ca/sites/default/files/20201102_Hansard.pdf"
"5th Assembly","20201030","https://assembly.nu.ca/sites/default/files/20201030_Hansard.pdf"
"5th Assembly","20201029","https://assembly.nu.ca/sites/default/files/20201029_Hansard.pdf"
"5th Assembly","20201028","https://assembly.nu.ca/sites/default/files/20201028_Hansard.pdf"
"5th Assembly","20201027","https://assembly.nu.ca/sites/default/files/20201027_Hansard.pdf"
"5th Assembly","20201026","https://assembly.nu.ca/sites/default/files/20201026_Hansard.pdf"
"5th Assembly","20201023","https://assembly.nu.ca/sites/default/files/20201023_Hansard.pdf"
"5th Assembly","20200226","https://assembly.nu.ca/sites/default/files/20200226-Nunavut-Leadership-Forum.pdf"
"5th Assembly","20200225","https://assembly.nu.ca/sites/default/files/20200225_Hansard.pdf"
"5th Assembly","20200224","https://assembly.nu.ca/sites/default/files/20200224_Hansard.pdf"
"5th Assembly","20200221","https://assembly.nu.ca/sites/default/files/20200221_Hansard.pdf"
"5th Assembly","20200220","https://assembly.nu.ca/sites/default/files/20200220_Hansard.pdf"
"5th Assembly","20200219","https://assembly.nu.ca/sites/default/files/20200219_Hansard.pdf"
"5th Assembly","20200218","https://assembly.nu.ca/sites/default/files/20200218_Hansard.pdf"
"5th Assembly","20191107","https://assembly.nu.ca/sites/default/files/20191107_Hansard_0.pdf"
"5th Assembly","20191106","https://assembly.nu.ca/sites/default/files/20191106_Hansard_0.pdf"
"5th Assembly","20190530","https://assembly.nu.ca/sites/default/files/20190530_Hansard.pdf"
"5th Assembly","20190529","https://assembly.nu.ca/sites/default/files/20190529_Hansard_0.pdf"
"5th Assembly","20190528","https://assembly.nu.ca/sites/default/files/20190528-Nunavut-Leadership-Forum.pdf"
"5th Assembly","20190312","https://assembly.nu.ca/sites/default/files/20190312_Hansard.pdf"
"5th Assembly","20190311","https://assembly.nu.ca/sites/default/files/20190311_Hansard.pdf"
"5th Assembly","20190309","https://assembly.nu.ca/sites/default/files/20190309_Hansard.pdf"
"5th Assembly","20190308","https://assembly.nu.ca/sites/default/files/20190308_Hansard.pdf"
"5th Assembly","20190307","https://assembly.nu.ca/sites/default/files/20190307_Hansard.pdf"
"5th Assembly","20190306","https://assembly.nu.ca/sites/default/files/20190306_Hansard.pdf"
"5th Assembly","20181029","https://assembly.nu.ca/sites/default/files/20181029_Hansard.pdf"
"5th Assembly","20181026","https://assembly.nu.ca/sites/default/files/20181026_Hansard.pdf"
"5th Assembly","20181025","https://assembly.nu.ca/sites/default/files/20181025_Hansard.pdf"
"5th Assembly","20181024","https://assembly.nu.ca/sites/default/files/20181024_Hansard.pdf"
"5th Assembly","20181023","https://assembly.nu.ca/sites/default/files/20181023_Hansard.pdf"
"5th Assembly","20180614","https://assembly.nu.ca/sites/default/files/20180614_Hansard.pdf"
"5th Assembly","20180613","https://assembly.nu.ca/sites/default/files/20180613_Hansard.pdf"
"5th Assembly","20180612","https://assembly.nu.ca/sites/default/files/20180612_Hansard.pdf"
"5th Assembly","20180611","https://assembly.nu.ca/sites/default/files/20180611_Hansard.pdf"
